,skin,fat,muscle,ijv,cca
0,28.0,23.0,9.0,52.0,52.0
1,28.0,23.0,9.0,44.75,44.75
2,28.0,23.0,9.0,37.5,37.5
3,28.0,23.0,9.0,30.25,30.25
4,28.0,23.0,9.0,23.0,23.0
5,28.0,23.0,7.75,52.0,52.0
6,28.0,23.0,7.75,44.75,44.75
7,28.0,23.0,7.75,37.5,37.5
8,28.0,23.0,7.75,30.25,30.25
9,28.0,23.0,7.75,23.0,23.0
10,28.0,23.0,6.5,52.0,52.0
11,28.0,23.0,6.5,44.75,44.75
12,28.0,23.0,6.5,37.5,37.5
13,28.0,23.0,6.5,30.25,30.25
14,28.0,23.0,6.5,23.0,23.0
15,28.0,23.0,5.25,52.0,52.0
16,28.0,23.0,5.25,44.75,44.75
17,28.0,23.0,5.25,37.5,37.5
18,28.0,23.0,5.25,30.25,30.25
19,28.0,23.0,5.25,23.0,23.0
20,28.0,23.0,4.0,52.0,52.0
21,28.0,23.0,4.0,44.75,44.75
22,28.0,23.0,4.0,37.5,37.5
23,28.0,23.0,4.0,30.25,30.25
24,28.0,23.0,4.0,23.0,23.0
25,28.0,20.833333333333332,9.0,52.0,52.0
26,28.0,20.833333333333332,9.0,44.75,44.75
27,28.0,20.833333333333332,9.0,37.5,37.5
28,28.0,20.833333333333332,9.0,30.25,30.25
29,28.0,20.833333333333332,9.0,23.0,23.0
30,28.0,20.833333333333332,7.75,52.0,52.0
31,28.0,20.833333333333332,7.75,44.75,44.75
32,28.0,20.833333333333332,7.75,37.5,37.5
33,28.0,20.833333333333332,7.75,30.25,30.25
34,28.0,20.833333333333332,7.75,23.0,23.0
35,28.0,20.833333333333332,6.5,52.0,52.0
36,28.0,20.833333333333332,6.5,44.75,44.75
37,28.0,20.833333333333332,6.5,37.5,37.5
38,28.0,20.833333333333332,6.5,30.25,30.25
39,28.0,20.833333333333332,6.5,23.0,23.0
40,28.0,20.833333333333332,5.25,52.0,52.0
41,28.0,20.833333333333332,5.25,44.75,44.75
42,28.0,20.833333333333332,5.25,37.5,37.5
43,28.0,20.833333333333332,5.25,30.25,30.25
44,28.0,20.833333333333332,5.25,23.0,23.0
45,28.0,20.833333333333332,4.0,52.0,52.0
46,28.0,20.833333333333332,4.0,44.75,44.75
47,28.0,20.833333333333332,4.0,37.5,37.5
48,28.0,20.833333333333332,4.0,30.25,30.25
49,28.0,20.833333333333332,4.0,23.0,23.0
50,28.0,18.666666666666668,9.0,52.0,52.0
51,28.0,18.666666666666668,9.0,44.75,44.75
52,28.0,18.666666666666668,9.0,37.5,37.5
53,28.0,18.666666666666668,9.0,30.25,30.25
54,28.0,18.666666666666668,9.0,23.0,23.0
55,28.0,18.666666666666668,7.75,52.0,52.0
56,28.0,18.666666666666668,7.75,44.75,44.75
57,28.0,18.666666666666668,7.75,37.5,37.5
58,28.0,18.666666666666668,7.75,30.25,30.25
59,28.0,18.666666666666668,7.75,23.0,23.0
60,28.0,18.666666666666668,6.5,52.0,52.0
61,28.0,18.666666666666668,6.5,44.75,44.75
62,28.0,18.666666666666668,6.5,37.5,37.5
63,28.0,18.666666666666668,6.5,30.25,30.25
64,28.0,18.666666666666668,6.5,23.0,23.0
65,28.0,18.666666666666668,5.25,52.0,52.0
66,28.0,18.666666666666668,5.25,44.75,44.75
67,28.0,18.666666666666668,5.25,37.5,37.5
68,28.0,18.666666666666668,5.25,30.25,30.25
69,28.0,18.666666666666668,5.25,23.0,23.0
70,28.0,18.666666666666668,4.0,52.0,52.0
71,28.0,18.666666666666668,4.0,44.75,44.75
72,28.0,18.666666666666668,4.0,37.5,37.5
73,28.0,18.666666666666668,4.0,30.25,30.25
74,28.0,18.666666666666668,4.0,23.0,23.0
75,28.0,16.5,9.0,52.0,52.0
76,28.0,16.5,9.0,44.75,44.75
77,28.0,16.5,9.0,37.5,37.5
78,28.0,16.5,9.0,30.25,30.25
79,28.0,16.5,9.0,23.0,23.0
80,28.0,16.5,7.75,52.0,52.0
81,28.0,16.5,7.75,44.75,44.75
82,28.0,16.5,7.75,37.5,37.5
83,28.0,16.5,7.75,30.25,30.25
84,28.0,16.5,7.75,23.0,23.0
85,28.0,16.5,6.5,52.0,52.0
86,28.0,16.5,6.5,44.75,44.75
87,28.0,16.5,6.5,37.5,37.5
88,28.0,16.5,6.5,30.25,30.25
89,28.0,16.5,6.5,23.0,23.0
90,28.0,16.5,5.25,52.0,52.0
91,28.0,16.5,5.25,44.75,44.75
92,28.0,16.5,5.25,37.5,37.5
93,28.0,16.5,5.25,30.25,30.25
94,28.0,16.5,5.25,23.0,23.0
95,28.0,16.5,4.0,52.0,52.0
96,28.0,16.5,4.0,44.75,44.75
97,28.0,16.5,4.0,37.5,37.5
98,28.0,16.5,4.0,30.25,30.25
99,28.0,16.5,4.0,23.0,23.0
100,28.0,14.333333333333334,9.0,52.0,52.0
101,28.0,14.333333333333334,9.0,44.75,44.75
102,28.0,14.333333333333334,9.0,37.5,37.5
