skin,fat,muscle,ijv,cca
28.0,23.0,9.0,52.0,52.0
28.0,23.0,9.0,44.75,44.75
28.0,23.0,9.0,37.5,37.5
28.0,23.0,9.0,30.25,30.25
28.0,23.0,9.0,23.0,23.0
28.0,23.0,7.75,52.0,52.0
28.0,23.0,7.75,44.75,44.75
28.0,23.0,7.75,37.5,37.5
28.0,23.0,7.75,30.25,30.25
28.0,23.0,7.75,23.0,23.0
28.0,23.0,6.5,52.0,52.0
28.0,23.0,6.5,44.75,44.75
28.0,23.0,6.5,37.5,37.5
28.0,23.0,6.5,30.25,30.25
28.0,23.0,6.5,23.0,23.0
28.0,23.0,5.25,52.0,52.0
28.0,23.0,5.25,44.75,44.75
28.0,23.0,5.25,37.5,37.5
28.0,23.0,5.25,30.25,30.25
28.0,23.0,5.25,23.0,23.0
28.0,23.0,4.0,52.0,52.0
28.0,23.0,4.0,44.75,44.75
28.0,23.0,4.0,37.5,37.5
28.0,23.0,4.0,30.25,30.25
28.0,23.0,4.0,23.0,23.0
28.0,20.833333333333332,9.0,52.0,52.0
28.0,20.833333333333332,9.0,44.75,44.75
28.0,20.833333333333332,9.0,37.5,37.5
28.0,20.833333333333332,9.0,30.25,30.25
28.0,20.833333333333332,9.0,23.0,23.0
28.0,20.833333333333332,7.75,52.0,52.0
28.0,20.833333333333332,7.75,44.75,44.75
28.0,20.833333333333332,7.75,37.5,37.5
28.0,20.833333333333332,7.75,30.25,30.25
28.0,20.833333333333332,7.75,23.0,23.0
28.0,20.833333333333332,6.5,52.0,52.0
28.0,20.833333333333332,6.5,44.75,44.75
28.0,20.833333333333332,6.5,37.5,37.5
28.0,20.833333333333332,6.5,30.25,30.25
28.0,20.833333333333332,6.5,23.0,23.0
28.0,20.833333333333332,5.25,52.0,52.0
28.0,20.833333333333332,5.25,44.75,44.75
28.0,20.833333333333332,5.25,37.5,37.5
28.0,20.833333333333332,5.25,30.25,30.25
28.0,20.833333333333332,5.25,23.0,23.0
28.0,20.833333333333332,4.0,52.0,52.0
28.0,20.833333333333332,4.0,44.75,44.75
28.0,20.833333333333332,4.0,37.5,37.5
28.0,20.833333333333332,4.0,30.25,30.25
28.0,20.833333333333332,4.0,23.0,23.0
28.0,18.666666666666668,9.0,52.0,52.0
28.0,18.666666666666668,9.0,44.75,44.75
28.0,18.666666666666668,9.0,37.5,37.5
28.0,18.666666666666668,9.0,30.25,30.25
28.0,18.666666666666668,9.0,23.0,23.0
28.0,18.666666666666668,7.75,52.0,52.0
28.0,18.666666666666668,7.75,44.75,44.75
28.0,18.666666666666668,7.75,37.5,37.5
